0:  21ms
1:  36ms
2:  36ms
3:  37ms
4:  37ms
5:  38ms
6:  37ms
7:  38ms
8:  39ms
9:  39ms
10:  40ms
11:  40ms
12:  41ms
13:  42ms
14:  42ms
15:  43ms
16:  42ms
17:  43ms
18:  43ms
19:  44ms
20:  44ms
21:  45ms
22:  45ms
23:  46ms
24:  47ms
25:  48ms
26:  49ms
27:  50ms
28:  51ms
29:  51ms
30:  52ms
31:  53ms
32:  54ms
33:  55ms
34:  55ms
35:  56ms
36:  56ms
37:  57ms
38:  58ms
39:  57ms
40:  58ms
41:  58ms
42:  59ms
43:  60ms
44:  61ms
45:  61ms
46:  62ms
47:  62ms
48:  63ms
49:  64ms
50:  64ms
51:  65ms
52:  64ms
53:  65ms
54:  66ms
55:  66ms
56:  67ms
57:  67ms
58:  67ms
59:  68ms
60:  68ms
61:  69ms
62:  69ms
63:  70ms
64:  71ms
65:  70ms
66:  71ms
67:  71ms
68:  71ms
69:  72ms
70:  72ms
71:  73ms
72:  74ms
73:  75ms
74:  76ms
75:  77ms
76:  76ms
77:  77ms
78:  77ms
79:  78ms
80:  78ms
81:  79ms
82:  79ms
83:  80ms
84:  81ms
85:  82ms
86:  82ms
87:  82ms
88:  82ms
89:  83ms
90:  84ms
91:  84ms
92:  84ms
93:  85ms
94:  85ms
95:  86ms
96:  86ms
97:  87ms
98:  87ms
99:  86ms
100:  89ms
101:  90ms
102:  91ms
103:  91ms
104:  92ms
105:  92ms
106:  92ms
107:  93ms
108:  93ms
109:  94ms
110:  94ms
111:  95ms
112:  94ms
113:  95ms
114:  95ms
115:  96ms
116:  96ms
117:  97ms
118:  97ms
119:  98ms
120:  99ms
121:  99ms
122:  99ms
123:  100ms
124:  99ms
125:  100ms
126:  100ms
127:  100ms
128:  102ms
129:  104ms
130:  105ms
131:  106ms
132:  106ms
133:  107ms
134:  107ms
135:  108ms
136:  108ms
137:  107ms
138:  108ms
139:  108ms
140:  108ms
141:  108ms
142:  109ms
143:  109ms
144:  109ms
145:  110ms
146:  110ms
147:  110ms
148:  110ms
149:  111ms
150:  111ms
151:  111ms
152:  110ms
153:  111ms
154:  111ms
155:  111ms
156:  111ms
157:  112ms
158:  112ms
159:  112ms
160:  113ms
161:  113ms
162:  113ms
163:  113ms
164:  114ms
165:  114ms
166:  115ms
167:  115ms
168:  114ms
169:  115ms
170:  115ms
171:  116ms
172:  116ms
173:  116ms
174:  117ms
175:  117ms
176:  117ms
177:  117ms
178:  117ms
179:  117ms
180:  117ms
181:  118ms
182:  118ms
183:  118ms
184:  118ms
185:  119ms
186:  119ms
187:  119ms
188:  120ms
189:  120ms
190:  120ms
191:  120ms
192:  121ms
193:  121ms
194:  121ms
195:  123ms
196:  124ms
197:  124ms
198:  124ms
199:  125ms
200:  125ms
201:  126ms
202:  126ms
203:  125ms
204:  126ms
205:  126ms
445:  110ms
446:  110ms
456:  110ms
468:  110ms
485:  110ms
498:  110ms
511:  110ms
525:  109ms
540:  110ms
559:  110ms
573:  109ms
585:  110ms
599:  110ms
612:  110ms
630:  113ms
631:  113ms
632:  114ms
633:  115ms
639:  115ms
652:  115ms
664:  115ms
676:  116ms
689:  115ms
726:  115ms
758:  114ms
779:  114ms
828:  112ms
861:  112ms
889:  112ms
905:  113ms
926:  113ms
965:  112ms
987:  111ms
